Lake,days_start_end,tot_obs,num_days,num_depths
Allequash,12247,4613,580,14
Alqueva,1951,26395,1898,14
Annie,3689,58852,3139,19
Arendsee,3618,46659,3288,16
Argyle,562,7641,361,124
Biel,15645,4073,342,13
BigMuskellunge,12207,11458,581,24
BlackOak,4059,703,68,12
Bosumtwi,863,1906,27,72
Bryrup,11208,4518,562,81
BurleyGriffin,10830,2386,250,64
Chao,3643,115,115,1
Crystal,11164,10857,547,27
CrystalBog,12150,1759,575,9
Delavan,7841,2686,156,31
Dickie,3852,1631,143,20
Eagle,729,3966,428,15
Ekoln,2426,43768,2034,93
Erken,20818,118762,10161,37
EsthwaiteWater,730,8772,731,12
FallingCreek,847,60550,124,111
Feeagh,4745,59150,4550,13
Fish,6844,6173,276,68
GreatPond,867,4926,496,10
Green,5166,5562,89,79
Harp,3863,5302,147,47
Hassel,1931,7755,77,160
Hulun,5731,159,159,1
Kilpisjarvi,1327,10306,472,41
Kinneret,1824,83823,1140,407
Kivu,4494,18696,211,91
Klicava,8236,12500,8237,116
Kuivajarvi,1812,28640,1790,16
Langtjern,1383,8043,1360,6
Laramie,667,141,7,33
LowerLakeZurich,13111,7649,404,19
Mendota,7114,8397,313,70
Monona,7120,7288,300,69
Mozhaysk,263,4581,206,47
MtBold,3192,34915,962,249
Muggelsee,3623,28805,2880,11
Murten,7637,3262,251,13
Neuchatel,12022,3594,334,11
Ngoring,348,5557,349,16
NohipaloMustjarv,702,4430,703,7
NohipaloValgejarv,702,5641,697,9
Okauchee,9562,810,59,14
Paajarvi,1695,1076,36,30
Rappbode,14136,5913,535,34
Rappbodep,1930,7755,78,162
Rimov,1825,143491,1826,351
Rotorua,9828,13202,479,42
Sammamish,9121,324859,3913,270
Sau,19727,19688,616,72
Scharmutzel,1055,9298,1055,10
Sparkling,12212,11074,587,25
Stechlin,7973,9745,370,114
Sunapee,9966,16319,1222,61
Tahoe,2346,153349,78,4761
Taihu,5540,178,178,1
Tarawera,7160,13730,184,84
Thun,9457,11806,311,38
Toolik,11398,7492,448,124
Trout,12257,19033,582,42
TroutBog,12168,4576,579,14
TwoSisters,9128,996,138,11
Vendyurskoe,3044,25722,2621,67
Vortsjarv,2013,3759,1924,2
Washington,10570,13820,552,444
Windermere,730,8772,731,12
Wingra,6838,1416,283,16
Zlutice,7139,9955,7140,88
Zurich,15092,22364,497,45
